Hole_ID;depth_from;depth_to;NI
C170887;0;1;0.5
C170887;1;2;0.72
C170887;2;3;0.89
C170887;3;4;0.98
C170887;4;5;0.9
C170887;5;6;0.82
C170887;6;7;1.02
C170887;7;8;0.96
C170887;8;9;0.94
C170887;9;10;0.93
C170887;10;11;1.49
C170887;11;12;1.65
C170887;12;13;2.08
C170887;13;14;1.59
C170887;14;14.75;1.74
C170887;14.75;15;1.03
C170887;15;16;1.52
C170887;16;17;0.94
C170887;17;17.4;0.63
C170887;17.4;18;0.69
C170887;18;19;0.52
C170887;19;20;0.32
C170888;0;1;0.59
C170888;1;2;0.84
C170888;2;3;0.98
C170888;3;4;0.88
C170888;4;5;0.98
C170888;5;6;1.05
C170888;6;7;1.28
C170888;7;8;1.1
C170888;8;9;1.3
C170888;9;10;1.73
C170888;10;11;1.9
C170888;11;11.45;1.88
C170888;11.45;12;2.19
C170888;12;12.25;2.43
C170888;12.25;12.5;1.38
C170888;12.5;13;2.39
C170888;13;14;2.62
C170888;14;15;2.34
C170888;15;15.75;1.45
C170888;15.75;16;3.07
C170888;16;17;2.8
C170888;17;18;2.79
C170888;18;18.5;2.07
C170888;18.5;19;2.85
C170888;19;20;2.94
C170888;20;21;2.81
C170888;21;22;2.35
C170888;22;23;2.15
C170888;23;24;1.74
C170888;24;25;0.9
C170888;25;26;0.48
C170888;26;27;0.48
C170888;27;28;0.46
C170888;28;29;0.42
C170889;0;1;0.53
C170889;1;2;0.56
C170889;2;3;0.51
C170889;3;3.4;0.71
C170889;3.4;4;0.67
C170889;4;4.4;0.84
C170889;4.4;5;2.52
C170889;5;6;2.53
C170889;6;7;2.39
C170889;7;8;0.83
C170889;8;9;1.55
C170889;9;10;1.05
C170889;10;11;0.59
C170889;11;12;0.35
C170889;12;12.5;0.31
C170890;0;1;0.68
C170890;1;2;0.73
C170890;2;3;0.71
C170890;3;4;0.85
C170890;4;5;0.85
C170890;5;6;0.76
C170890;6;7;1.1
C170890;7;8;1.14
C170890;8;9;1.56
C170890;9;10;2.17
C170890;10;11;1.65
C170890;11;12;1.25
C170890;12;13;1.44
C170890;13;14;0.98
C170890;14;15;1.17
C170890;15;16;1.22
C170890;16;16.5;1.3
C170890;16.5;17;0.97
C170890;17;18;1.04
C170890;18;19;1.19
C170890;19;20;0.94
C170890;20;21;0.84
C170890;21;22;0.86
C170890;22;23;1.18
C170890;23;23.3;1
C170890;23.3;24;1.42
C170890;24;25;1.39
C170890;25;26;1.33
C170890;26;27;0.39
C170890;27;27.5;0.41
C170891;0;1;0.43
C170891;1;2;0.66
C170891;2;3;0.65
C170891;3;4;0.71
C170891;4;5;1.09
C170891;5;6;1.5
C170891;6;7;2.13
C170891;7;8;1.8
C170891;8;9;1.66
C170891;9;10;1.53
C170891;10;11;0.91
C170891;11;12;0.9
C170891;12;13;0.86
C170891;13;14;0.63
C170891;14;15;1.31
C170891;15;16;1.19
C170891;16;16.5;1.28
C170892;0;1;0.63
C170892;1;2;0.46
C170892;2;3;0.94
C170892;3;4;1.16
C170892;4;5;1.23
C170892;5;6;1.04
C170892;6;7;0.99
C170892;7;8;0.96
C170892;8;9;0.64
C170892;9;10;0.91
C170892;10;11;1.11
C170892;11;11.25;0.44
C170892;11.25;11.75;1.23
C170892;11.75;12;0.8
C170892;12;13;1.17
C170892;13;14;1.17
C170892;14;15;1.21
C170892;15;16;1.57
C170892;16;17;1.84
C170892;17;18;2.33
C170892;18;19;2.53
C170892;19;20;1.56
C170892;20;21;0.79
C170892;21;22;0.66
C170892;22;22.5;0.72
C170893;0;1;0.53
C170893;1;2;0.84
C170893;2;3;1.02
C170893;3;4;1.19
C170893;4;5;1.12
C170893;5;6;1.14
C170893;6;7;1.18
C170893;7;8;1.21
C170893;8;9;0.88
C170893;9;9.7;1.37
C170893;9.7;10;2.23
C170893;10;11;2.43
C170893;11;12;1.49
C170893;12;13;1.47
C170893;13;14;1.84
C170893;14;15;0.57
C170894;0;1;0.46
C170894;1;2;0.48
C170894;2;3;0.5
C170894;3;4;0.52
C170894;4;5;1.84
C170894;5;6;1.18
C170894;6;7;1.7
C170894;7;8;2.22
C170894;8;9;1.76
C170894;9;10;1.58
C170894;10;10.3;2.06
C170894;10.3;11;2.02
C170894;11;12;1.86
C170894;12;13;1.94
C170894;13;14;1.9
C170894;14;14.5;2
C170894;14.5;15;1.58
C170894;15;16;0.77
C170894;16;17;1.55
C170894;17;18;1.15
C170894;18;19;1.15
C170894;19;20;1.33
C170894;20;21;1.02
C170894;21;21.7;1.31
C170894;21.7;22;1.17
C170894;22;23;0.82
C170894;23;24;0.31
C170901;0;1;0.54
C170901;1;2;0.67
C170901;2;3;0.8
C170901;3;4;0.8
C170901;4;5;0.88
C170901;5;6;1.17
C170901;6;7;1.49
C170901;7;8;1.9
C170901;8;9;1.75
C170901;9;10;1.94
C170901;10;11;2.22
C170901;11;12;2
C170901;12;13;1.49
C170901;13;14;1.72
C170901;14;15;1.61
C170901;15;16;1.53
C170901;16;17;1.99
C170901;17;18;1.39
C170901;18;19;0.5
C170901;19;20;0.46
C170902;0;1;0.71
C170902;1;2;0.83
C170902;2;3;1.01
C170902;3;4;1.04
C170902;4;5;1.12
C170902;5;6;1.41
C170902;6;7;1.25
C170902;7;8;1.51
C170902;8;9;1.52
C170902;9;10;1.83
C170902;10;11;1.92
C170902;11;12;1.64
C170902;12;13;1.79
C170902;13;14;1.37
C170902;14;15;1.55
C170902;15;16;1.41
C170902;16;17;1.48
C170902;17;17.35;1.03
C170902;17.35;18;1.37
C170902;18;18.5;0.78
C170902;18.5;19;0.91
C170902;19;20;1.39
C170902;20;20.35;1.13
C170902;20.35;21;1.52
C170902;21;22;1.37
C170902;22;23;0.7
C170902;23;24;1.13
C170902;24;25;1.23
C170903;0;1;0.29
C170903;1;2;0.35
C170903;2;3;0.3
C170903;3;4;0.87
C170903;4;5;1.09
C170903;5;6;0.97
C170903;6;7;0.96
C170903;7;8;1.15
C170903;8;9;0.65
C170903;9;10;0.93
C170903;10;11;1.23
C170903;11;12;1.89
C170903;12;13;2.03
C170903;13;14;2.37
C170903;14;15;2.68
C170903;15;16;1.95
C170903;16;16.45;2.22
C170903;16.45;17;2.16
C170903;17;18;1.33
C170903;18;19;2.07
C170903;19;20;1.99
C170903;20;21;1.71
C170903;21;22;1.62
C170903;22;23;1.95
C170903;23;24;1.83
C170903;24;25;1.5
C170903;25;26;0.73
C170904;0;1;0.74
C170904;1;2;0.84
C170904;2;3;1.09
C170904;3;4;1.04
C170904;4;5;1.09
C170904;5;6;1.04
C170904;6;7;1.16
C170904;7;8;1.15
C170904;8;9;1.21
C170904;9;10;1.21
C170904;10;11;1.38
C170904;11;11.6;2
C170904;11.6;12;1.82
C170904;12;13;1.61
C170904;13;14;1.81
C170904;14;15;2.16
C170904;15;16;1.79
C170904;16;17;1.62
C170904;17;17.75;1.35
C170904;17.75;18;0.82
C170904;18;18.4;0.59
C170904;18.4;19;0.51
C170904;19;20;0.41
