hole_id;depth_from;depth_to;LITH
C170887;0;1;LIM
C170887;1;2;LIM
C170887;2;3;LIM
C170887;3;4;LIM
C170887;4;5;LIM
C170887;5;6;LIM
C170887;6;7;LIM
C170887;7;8;LIM
C170887;8;9;LIM
C170887;9;10;LIM
C170887;10;11;LIM
C170887;11;12;SAP
C170887;12;13;SAP
C170887;13;14;SAP
C170887;14;14.75;SAP
C170887;14.75;15;SAP
C170887;15;16;SAP
C170887;16;17;BR
C170887;17;17.4;BR
C170887;17.4;18;BR
C170887;18;19;BR
C170887;19;20;BR
C170888;0;1;LIM
C170888;1;2;LIM
C170888;2;3;LIM
C170888;3;4;LIM
C170888;4;5;LIM
C170888;5;6;LIM
C170888;6;7;LIM
C170888;7;8;LIM
C170888;8;9;LIM
C170888;9;10;SAP
C170888;10;11;SAP
C170888;11;11.45;SAP
C170888;11.45;12;SAP
C170888;12;12.25;SAP
C170888;12.25;12.5;SAP
C170888;12.5;13;SAP
C170888;13;14;SAP
C170888;14;15;SAP
C170888;15;15.75;SAP
C170888;15.75;16;SAP
C170888;16;17;SAP
C170888;17;18;SAP
C170888;18;18.5;SAP
C170888;18.5;19;SAP
C170888;19;20;SAP
C170888;20;21;SAP
C170888;21;22;SAP
C170888;22;23;SAP
C170888;23;24;SAP
C170888;24;25;BR
C170888;25;26;BR
C170888;26;27;BR
C170888;27;28;BR
C170888;28;29;BR
C170889;0;1;LIM
C170889;1;2;LIM
C170889;2;3;LIM
C170889;3;3.4;LIM
C170889;3.4;4;LIM
C170889;4;4.4;LIM
C170889;4.4;5;SAP
C170889;5;6;SAP
C170889;6;7;SAP
C170889;7;8;SAP
C170889;8;9;SAP
C170889;9;10;BR
C170889;10;11;BR
C170889;11;12;BR
C170889;12;12.5;BR
C170890;0;1;LIM
C170890;1;2;LIM
C170890;2;3;LIM
C170890;3;4;LIM
C170890;4;5;LIM
C170890;5;6;LIM
C170890;6;7;LIM
C170890;7;8;LIM
C170890;8;9;SAP
C170890;9;10;SAP
C170890;10;11;SAP
C170890;11;12;BR
C170890;12;13;BR
C170890;13;14;BR
C170890;14;15;BR
C170890;15;16;BR
C170890;16;16.5;BR
C170890;16.5;17;BR
C170890;17;18;BR
C170890;18;19;BR
C170890;19;20;BR
C170890;20;21;BR
C170890;21;22;BR
C170890;22;23;BR
C170890;23;23.3;BR
C170890;23.3;24;BR
C170890;24;25;BR
C170890;25;26;BR
C170890;26;27;BR
C170890;27;27.5;BR
C170891;0;1;LIM
C170891;1;2;LIM
C170891;2;3;LIM
C170891;3;4;LIM
C170891;4;5;LIM
C170891;5;6;SAP
C170891;6;7;SAP
C170891;7;8;SAP
C170891;8;9;SAP
C170891;9;10;SAP
C170891;10;11;BR
C170891;11;12;BR
C170891;12;13;BR
C170891;13;14;BR
C170891;14;15;BR
C170891;15;16;BR
C170891;16;16.5;BR
C170892;0;1;LIM
C170892;1;2;LIM
C170892;2;3;LIM
C170892;3;4;LIM
C170892;4;5;LIM
C170892;5;6;LIM
C170892;6;7;LIM
C170892;7;8;LIM
C170892;8;9;LIM
C170892;9;10;LIM
C170892;10;11;LIM
C170892;11;11.25;LIM
C170892;11.25;11.75;LIM
C170892;11.75;12;LIM
C170892;12;13;LIM
C170892;13;14;LIM
C170892;14;15;LIM
C170892;15;16;SAP
C170892;16;17;SAP
C170892;17;18;SAP
C170892;18;19;SAP
C170892;19;20;SAP
C170892;20;21;BR
C170892;21;22;BR
C170892;22;22.5;BR
C170893;0;1;LIM
C170893;1;2;LIM
C170893;2;3;LIM
C170893;3;4;LIM
C170893;4;5;LIM
C170893;5;6;LIM
C170893;6;7;LIM
C170893;7;8;LIM
C170893;8;9;LIM
C170893;9;9.7;LIM
C170893;9.7;10;SAP
C170893;10;11;SAP
C170893;11;12;BR
C170893;12;13;BR
C170893;13;14;BR
C170893;14;15;BR
C170894;0;1;LIM
C170894;1;2;LIM
C170894;2;3;LIM
C170894;3;4;LIM
C170894;4;5;SAP
C170894;5;6;SAP
C170894;6;7;SAP
C170894;7;8;SAP
C170894;8;9;SAP
C170894;9;10;SAP
C170894;10;10.3;SAP
C170894;10.3;11;SAP
C170894;11;12;SAP
C170894;12;13;SAP
C170894;13;14;SAP
C170894;14;14.5;SAP
C170894;14.5;15;SAP
C170894;15;16;SAP
C170894;16;17;SAP
C170894;17;18;BR
C170894;18;19;BR
C170894;19;20;BR
C170894;20;21;BR
C170894;21;21.7;BR
C170894;21.7;22;BR
C170894;22;23;BR
C170894;23;24;BR
C170901;0;1;LIM
C170901;1;2;LIM
C170901;2;3;LIM
C170901;3;4;LIM
C170901;4;5;LIM
C170901;5;6;LIM
C170901;6;7;LIM
C170901;7;8;SAP
C170901;8;9;SAP
C170901;9;10;SAP
C170901;10;11;SAP
C170901;11;12;SAP
C170901;12;13;SAP
C170901;13;14;SAP
C170901;14;15;SAP
C170901;15;16;SAP
C170901;16;17;SAP
C170901;17;18;BR
C170901;18;19;BR
C170901;19;20;BR
C170902;0;1;LIM
C170902;1;2;LIM
C170902;2;3;LIM
C170902;3;4;LIM
C170902;4;5;LIM
C170902;5;6;LIM
C170902;6;7;LIM
C170902;7;8;SAP
C170902;8;9;SAP
C170902;9;10;SAP
C170902;10;11;SAP
C170902;11;12;SAP
C170902;12;13;SAP
C170902;13;14;SAP
C170902;14;15;SAP
C170902;15;16;BR
C170902;16;17;BR
C170902;17;17.35;BR
C170902;17.35;18;BR
C170902;18;18.5;BR
C170902;18.5;19;BR
C170902;19;20;BR
C170902;20;20.35;BR
C170902;20.35;21;BR
C170902;21;22;BR
C170902;22;23;BR
C170902;23;24;BR
C170902;24;25;BR
C170903;0;1;LIM
C170903;1;2;LIM
C170903;2;3;LIM
C170903;3;4;LIM
C170903;4;5;LIM
C170903;5;6;LIM
C170903;6;7;LIM
C170903;7;8;LIM
C170903;8;9;LIM
C170903;9;10;LIM
C170903;10;11;LIM
C170903;11;12;SAP
C170903;12;13;SAP
